D,h,Cl_cyc,rk_2,rats_predicted
-10660,32,"[8, 2, 2]",3,8
-10635,16,"[8, 2]",2,4
-10628,32,"[32]",1,2
-10623,64,"[64]",1,2
-10619,32,"[16, 2]",2,4
-10587,16,"[16]",1,2
-10563,16,"[8, 2]",2,4
-10547,32,"[32]",1,2
-10532,32,"[32]",1,2
-10468,32,"[32]",1,2
-10420,16,"[8, 2]",2,4
-10419,32,"[16, 2]",2,4
-10387,16,"[8, 2]",2,4
-10356,32,"[16, 2]",2,4
-10327,32,"[32]",1,2
-10312,16,"[16]",1,2
-10295,128,"[32, 4]",2,4
-10276,32,"[16, 2]",2,4
-10244,64,"[32, 2]",2,4
-10232,64,"[64]",1,2
-10227,16,"[8, 2]",2,4
-10203,16,"[8, 2]",2,4
-10195,16,"[16]",1,2
-10184,64,"[32, 2]",2,4
-10183,64,"[64]",1,2
-10168,16,"[4, 4]",2,4
-10132,16,"[8, 2]",2,4
-10084,32,"[32]",1,2
-10052,32,"[16, 2]",2,4
-10024,32,"[16, 2]",2,4
-10023,64,"[32, 2]",2,4
