D,h,Cl_cyc,rk_2,rats_predicted
-1995,8,"[2, 2, 2]",3,8
-1992,8,"[4, 2]",2,4
-1983,16,"[16]",1,2
-1947,8,"[4, 2]",2,4
-1943,32,"[32]",1,2
-1939,8,"[8]",1,2
-1924,16,"[8, 2]",2,4
-1912,8,"[8]",1,2
-1876,16,"[8, 2]",2,4
-1864,8,"[8]",1,2
-1860,16,"[4, 2, 2]",3,8
-1848,8,"[2, 2, 2]",3,8
-1828,8,"[8]",1,2
-1803,8,"[8]",1,2
-1795,8,"[8]",1,2
-1784,32,"[32]",1,2
-1780,8,"[4, 2]",2,4
-1771,8,"[4, 2]",2,4
-1768,8,"[4, 2]",2,4
-1767,32,"[16, 2]",2,4
-1752,8,"[4, 2]",2,4
-1731,8,"[8]",1,2
-1716,16,"[4, 2, 2]",3,8
-1672,8,"[4, 2]",2,4
-1659,8,"[4, 2]",2,4
-1651,8,"[8]",1,2
-1640,16,"[8, 2]",2,4
-1636,16,"[16]",1,2
-1635,8,"[4, 2]",2,4
-1624,16,"[8, 2]",2,4
-1608,16,"[8, 2]",2,4
-1595,16,"[8, 2]",2,4
-1560,16,"[4, 2, 2]",3,8
-1555,4,"[4]",1,2
-1551,32,"[16, 2]",2,4
-1540,8,"[2, 2, 2]",3,8
-1528,8,"[8]",1,2
-1508,16,"[8, 2]",2,4
-1507,4,"[4]",1,2
-1463,32,"[16, 2]",2,4
-1443,8,"[4, 2]",2,4
-1435,4,"[2, 2]",2,4
-1428,8,"[2, 2, 2]",3,8
-1416,16,"[8, 2]",2,4
-1412,16,"[16]",1,2
-1411,4,"[4]",1,2
-1387,4,"[4]",1,2
-1380,8,"[2, 2, 2]",3,8
-1379,16,"[16]",1,2
-1348,8,"[8]",1,2
-1339,8,"[8]",1,2
-1320,8,"[2, 2, 2]",3,8
-1299,8,"[8]",1,2
-1288,8,"[4, 2]",2,4
-1252,8,"[8]",1,2
-1243,4,"[4]",1,2
-1240,8,"[4, 2]",2,4
-1239,32,"[16, 2]",2,4
-1227,4,"[4]",1,2
-1220,16,"[8, 2]",2,4
-1204,8,"[4, 2]",2,4
-1195,8,"[8]",1,2
-1159,16,"[16]",1,2
-1155,8,"[2, 2, 2]",3,8
-1140,16,"[4, 2, 2]",3,8
-1139,16,"[16]",1,2
-1131,8,"[4, 2]",2,4
-1128,8,"[4, 2]",2,4
-1119,32,"[32]",1,2
-1092,8,"[2, 2, 2]",3,8
-1060,8,"[4, 2]",2,4
-1047,16,"[16]",1,2
-1043,8,"[8]",1,2
-1032,8,"[4, 2]",2,4
-1028,16,"[16]",1,2
-1027,4,"[4]",1,2
-1023,16,"[8, 2]",2,4
-1016,16,"[16]",1,2
-1015,16,"[8, 2]",2,4
-1012,4,"[2, 2]",2,4
-1003,4,"[4]",1,2
