label,char_int,cm_disc,level,v2_pattern,match,alpha_m,alpha_F1
4.5.b.a,-4,-4,4,"[-3, -2, 0, 1]",True,"['1/10', '1/12', '1/24', '1/60']","['1/8', '-1/4', '1/3', '-2/5']"
36.5.d.a,-4,-4,36,"[-2, 1, 0, 0]",False,"['3650401/790335', '289117/375574', '4505/35113', '9010/316017']","['3650401/632268', '-1129438/489061', '849331/827485', '-475855/695423']"
64.5.c.a,-4,-4,64,"[0, -5, 4, 2]",False,"['665857/78472', '470832/665857', '58854/665857', '5482/248087']","['2078353/195949', '-665857/313888', '470832/665857', '-353124/665857']"
100.5.b.a,-4,-4,100,"['?', 0, 9, 1]",False,"['?', '252729/735827', '10048/125769', '6270/273829']","['?', '-758187/735827', '80384/125769', '-388954/707781']"
12.5.c.a,-3,-3,12,"[-1, 0, 0, 1]",False,"['10045887/180433', '836731/39045', '3348629/541299', '836731/468540']","['23902639/343450', '-836731/13015', '21516141/434755', '-1673462/39045']"
27.5.b.a,-3,-3,27,"[0, 2, 2, 7]",False,"['148880180/795889', '36', '3650401/526890', '16/9']","['186100225/795889', '-108', '14601604/263445', '-128/3']"
48.5.e.a,-3,-3,48,"[-1, 0, 1, 1]",False,"['197808223/512804', '6697258/180433', '836731/156180', '1193249/771545']","['2510193/5206', '-57851165/519529', '1673462/39045', '-6697258/180433']"
75.5.c.a,-3,-3,75,"[-2, -4, 1, 1]",False,"['420019673/543734', '9088627/183408', '3172677/554468', '1253222/790311']","['790869141/819052', '-9088627/61136', '6345354/138617', '-18177254/477625']"
