L1,L2,L3,L4,Omega_CS,Rf,Rf_bestappr,Rf_over_sqrtd,alpha_1_CS,alpha_1_boot,alpha_1_boot_over_sqrtd,alpha_1_over_sqrtd,alpha_2_CS,alpha_2_boot,alpha_2_boot_over_sqrtd,alpha_2_over_sqrtd,alpha_3_CS,alpha_3_boot,alpha_3_boot_over_sqrtd,alpha_3_over_sqrtd,alpha_4_CS,alpha_4_over_sqrtd,cm_disc,done,label,resid_1,resid_2,resid_3,resid_4,verdict_raw
0.1524471335906668939968486380733198490804650364690543075779997156391065540570243725645098521424574619,0.3991056624577174268046801151413752631886651558104582999348984624161275517891304891656355298091718853,0.6269137085916264061746820544764722651821112059625876599110072291540304801803235255284572315261795423,0.7878030005384743845544224855621721391613798386287131096176350893460649594206865304027173598876862706,2.622057554292119810464839589891119413682754951431623162816821703800790587070414250230295532961429093,1.200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6/5,3/5,1/10,6,3,1/20,1/12,5,5/2,1/24,1/24,5/2,5/4,1/48,1/60,1/120,-4,YES,4.5.b.a,2.5379418373156492233,2.1149515310963743528,1.0574757655481871764,4.229903062192748706,a1_q=6 a1_r=3 | a2_q=5 a2_r=5/2 | a3_q=5/2 a3_r=5/4 | Rf_q=6/5 Rf_r=3/5
3.672871979788046133294737763940530191939834840910961031989334785318369961764514375386357098368401430,2.220617620617743703995275862706133387805659093599481212205017848644825275796024729054508185134978893,1.342584942827921701171353289309268252551307000197411053011529272439654918308292365144455020612262767,1.082302095880763601144679073580871376477766447762672425183125563673936130964596242930182015287691770,0.8833193751427249786568447498242193512859342691012787650634526209177265008640539568027434966666917936,5.196152422706631880582339024517617100828415761431141884167420938355799050726400111243438560271745727,37220045/7163001,3,1670535589/8930409,445548931/4234367,243/4,108,36,81/4,37220045/3183556,152530581/7338631,50843527/7338631,37220045/9550668,9/4,4,16/9,3090187/3010703,-3,YES,27.5.b.a,5.664083241432534552116424712845900472749316972563236618881313722218346485950920920026318434062248025,3.248565551764031006,1.340044693854964730269670271819048687746338621015596877048152199436148323074606948422854891629895827,2.707137959803359172,a1_q=445548931/4234367 a1_r=243/4 | a2_q=81/4 a2_r=37220045/3183556 | a3_q=37220045/9550668 a3_r=9/4 | Rf_q=37220045/7163001 Rf_r=3
0.4563447243857245487934139571908540373503703515148759130545964205922958926521672844981816285370238098,0.8257043460126528421249433189825268528406348249430675596359508988398707347799219227835101993099632742,0.9804499374609539837014927764147769319455193573497036420198065107369975100653126555335194804963342836,1.018671905925636136530853260837216640533336911821856992338935210272588848915849660842120834325748642,7.149168422355228684017718318863987466503112699042659839860747620874342311194289707887995539548645804,1.736274297886137575016685338325764654372357588897857930866719488850701415244873630717757831748919244,16322041/9400612,21/32,48178/8894637,32644082/2350153,21/4,3905/1907434,10682/3424131,8,8193151/2709630,4592/3894473,4592/3894473,8193151/2709630,8/7,1526/3424131,823/2110511,574/3894473,-7,YES,7.5.b.a,2.848868735264420428131035525329515152423800121296569863866805996316895897249118156172276076377469912,2.216249299796970561076288907368324409338557735045605658314001134650949970334402717601901240680691010,1.633086879312369022323666326789763560735586433965397509467384999509301987413571575253973909875391997,3.182378683286524542781826831082675303239371247398895001640635532657113653741465630653375044379849809,a1_q=32644082/2350153 a1_r=21/4 | a2_q=8 a2_r=8193151/2709630 | a3_q=8193151/2709630 a3_r=8/7 | Rf_q=16322041/9400612 Rf_r=21/32
0.9482798194021285212364907152879323966142197404915995546874333928761291110421124292006264409090640761,1.224866092306867985830025538864193119920761293139672793150804372883970826395662044739869438672055996,1.160224794921752456639713077393316150175134506913979671353914805226340149667405755745799977231568731,1.074572780033510120687979340579751459571538559487238743412591414956116828996918767841935891208307358,8.844946868165777908095343557944024641568347961734541679394500063147457211908422846748197383098911046,2.432191512927293222684284006891836901546531600098859304509700240485422071246632154253151826027413144,3326861/1367845,11/15,5258/1094499,267540279/9777749,33/4,5813/4013206,4403/2229160,45/4,31521799/9292976,2390/4013163,2390/4013163,31521799/9292976,45/44,1040/5791867,940/5353933,379/7159466,-11,YES,11.5.b.a,1.204583609008881810780220228174732369291474624846408429751218050943054168601432416957724381339827864,2.054001325920029985084080157328276524102070213608959754789008444730758903363284066043896879255490348,1.493285465713489848074653175423221945402654493611250119526303368937670456943924483831889728933670906,5.622111904785599061436729392487873802566793399191166681910185215860258442904572405978694607735432608,a1_q=267540279/9777749 a1_r=33/4 | a2_q=45/4 a2_r=31521799/9292976 | a3_q=31521799/9292976 a3_r=45/44 | Rf_q=3326861/1367845 Rf_r=11/15
